## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=5.2_bwa_mem/insert_hist.pdf MINIMUM_PCT=0.5 INPUT=5.2_bwa_mem/SRR16569049_bwa_mem_chr22.sort.bam OUTPUT=5.2_bwa_mem/insert_metrics.txt VALIDATION_STRINGENCY=SILENT    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Sep 04 21:08:04 EDT 2025

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
399	180	189	2	942411	392.291361	264.240795	419921	FR	59	121	195	283	379	457	529	611	733	1369	26717			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	135
3	140
4	145
5	167
6	155
7	154
8	173
9	155
10	151
11	147
12	174
13	172
14	184
15	176
16	177
17	175
18	201
19	337
20	334
21	336
22	323
23	422
24	509
25	474
26	696
27	694
28	460
29	345
30	344
31	340
32	341
33	317
34	288
35	313
36	342
37	327
38	402
39	419
40	367
41	358
42	342
43	396
44	413
45	428
46	423
47	490
48	427
49	407
50	465
51	435
52	420
53	494
54	542
55	526
56	710
57	505
58	552
59	545
60	564
61	593
62	603
63	669
64	711
65	870
66	636
67	585
68	631
69	546
70	663
71	667
72	652
73	571
74	658
75	639
76	575
77	648
78	580
79	634
80	614
81	659
82	662
83	674
84	615
85	612
86	699
87	766
88	671
89	762
90	672
91	721
92	746
93	717
94	710
95	726
96	732
97	768
98	773
99	796
100	700
101	802
102	793
103	812
104	823
105	1055
106	784
107	801
108	719
109	682
110	692
111	654
112	722
113	755
114	745
115	701
116	690
117	748
118	825
119	754
120	781
121	857
122	792
123	840
124	774
125	722
126	728
127	788
128	790
129	858
130	869
131	861
132	853
133	817
134	879
135	935
136	796
137	748
138	1452
139	822
140	794
141	820
142	771
143	708
144	680
145	659
146	734
147	652
148	576
149	560
150	918
151	918
152	872
153	986
154	927
155	857
156	904
157	921
158	872
159	821
160	983
161	956
162	949
163	946
164	821
165	838
166	778
167	829
168	896
169	893
170	966
171	828
172	864
173	923
174	808
175	749
176	806
177	791
178	779
179	783
180	1697
181	728
182	587
183	602
184	685
185	653
186	676
187	664
188	673
189	650
190	562
191	569
192	598
193	539
194	520
195	565
196	555
197	512
198	594
199	607
200	553
201	656
202	590
203	512
204	537
205	534
206	521
207	510
208	477
209	475
210	435
211	448
212	412
213	426
214	427
215	593
